Tab &#x0009;
NewLine &#x000A;
excl &#x0021;
quot &#x0022;
num &#x0023;
dollar &#x0024;
percnt &#x0025;
apos &#x0027;
lpar &#x0028;
rpar &#x0029;
ast &#x002A;
midast &#x002A;
plus &#x002B;
comma &#x002C;
period &#x002E;
sol &#x002F;
colon &#x003A;
semi &#x003B;
equals &#x003D;
bne &#xEEEE;
quest &#x003F;
commat &#x0040;
lbrack &#x005B;
lsqb &#x005B;
bsol &#x005C;
bsolhsub &#xEEEF;
rbrack &#x005D;
rsqb &#x005D;
circ &#x005E;
lowbar &#x005F;
DiacriticalGrave &#x0060;
grave &#x0060;
jmath &#xEEF0;
lbrace &#x007B;
lcub &#x007B;
VerticalLine &#x007C;
verbar &#x007C;
vert &#x007C;
rbrace &#x007D;
rcub &#x007D;
NonBreakingSpace &#x00A0;
nbsp &#x00A0;
iexcl &#x00A1;
cent &#x00A2;
pound &#x00A3;
curren &#x00A4;
yen &#x00A5;
brvbar &#x00A6;
sect &#x00A7;
Dot &#x00A8;
DoubleDot &#x00A8;
die &#x00A8;
uml &#x00A8;
copy &#x00A9;
ordf &#x00AA;
laquo &#x00AB;
not &#x00AC;
shy &#x00AD;
circledR &#x00AE;
reg &#x00AE;
OverBar &#x00AF;
macr &#x00AF;
deg &#x00B0;
PlusMinus &#x00B1;
plusmn &#x00B1;
pm &#x00B1;
sup2 &#x00B2;
sup3 &#x00B3;
DiacriticalAcute &#x00B4;
acute &#x00B4;
micro &#x00B5;
para &#x00B6;
CenterDot &#x00B7;
centerdot &#x00B7;
middot &#x00B7;
Cedilla &#x00B8;
cedil &#x00B8;
sup1 &#x00B9;
ordm &#x00BA;
raquo &#x00BB;
frac14 &#x00BC;
frac12 &#x00BD;
half &#x00BD;
frac34 &#x00BE;
iquest &#x00BF;
Agrave &#x00C0;
Aacute &#x00C1;
Acirc &#x00C2;
Atilde &#x00C3;
Auml &#x00C4;
Aring &#x00C5;
AElig &#x00C6;
Ccedil &#x00C7;
Egrave &#x00C8;
Eacute &#x00C9;
Ecirc &#x00CA;
Euml &#x00CB;
Igrave &#x00CC;
Iacute &#x00CD;
Icirc &#x00CE;
Iuml &#x00CF;
ETH &#x00D0;
Ntilde &#x00D1;
Ograve &#x00D2;
Oacute &#x00D3;
Ocirc &#x00D4;
Otilde &#x00D5;
Ouml &#x00D6;
times &#x00D7;
Oslash &#x00D8;
Ugrave &#x00D9;
Uacute &#x00DA;
Ucirc &#x00DB;
Uuml &#x00DC;
Yacute &#x00DD;
THORN &#x00DE;
szlig &#x00DF;
agrave &#x00E0;
aacute &#x00E1;
acirc &#x00E2;
atilde &#x00E3;
auml &#x00E4;
aring &#x00E5;
aelig &#x00E6;
ccedil &#x00E7;
egrave &#x00E8;
eacute &#x00E9;
ecirc &#x00EA;
euml &#x00EB;
igrave &#x00EC;
iacute &#x00ED;
icirc &#x00EE;
iuml &#x00EF;
eth &#x00F0;
ntilde &#x00F1;
ograve &#x00F2;
oacute &#x00F3;
ocirc &#x00F4;
otilde &#x00F5;
ouml &#x00F6;
div &#x00F7;
